Name,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Montana,1014699,510163,504536,3.268888889,86.41555556,0.429259259,7.060740741,0.57037037,0.072222222,47645.68284,26045.23333,15.96988848,35.60966543,19.37286245,21.71449814,13.71710037,9.586988848,1791.313653,69.39776952,19.48178439,10.38513011,0.733828996,6.278810409
Nebraska,1869365,929606,939759,9.203759398,81.13947368,4.956203008,0.864473684,1.859022556,0.057142857,55916.4697,27769.52632,13.22575758,35.37618147,16.86956522,23.42098299,10.76540643,13.56918715,1819.800752,77.86880907,14.20831758,7.687145558,0.241587902,4.809829868
Nevada,2798636,1407735,1390901,27.10088365,53.23932253,7.739617084,1.08718704,7.095729013,0.574521355,55526.52507,27339.7349,15.87876106,27.41460177,27.96032448,25.45781711,9.116224189,10.05103245,1844.704512,81.99941003,12.50737463,5.387610619,0.109144543,10.86430678
New Hampshire,1324201,653484,670717,3.321917808,91.31917808,1.227739726,0.142808219,2.191438356,0.01609589,68728.85959,34114.15753,9.714383562,39.09589041,16.29520548,24.0640411,9.141780822,11.40239726,2368.847458,78.99554795,13.58630137,7.274657534,0.136986301,5.818835616
New Jersey,8904413,4343027,4561386,18.7495005,56.48876124,14.38786214,0.115334665,8.15999001,0.031318681,76581.08342,35929.6017,11.60511278,39.01763527,17.8240481,24.82334669,7.347094188,10.98757515,2130.228856,81.00300601,14.17885772,4.682815631,0.135170341,9.348146293
New Mexico,2084117,1032414,1051703,45.28293173,40.69799197,1.75502008,9.248594378,1.234337349,0.042771084,47329.96787,24505.95582,20.91365462,34.6060241,21.31526104,22.85742972,11.70582329,9.514658635,1755.581162,69.65582329,23.23032129,6.891566265,0.221485944,9.410441767
New York,19673174,9541801,10131373,17.24142475,56.470105,15.66804612,0.321638872,7.89715874,0.02345069,64290.74911,32254.91254,16.15921869,37.21919109,21.39061081,23.97847709,7.464671894,9.94836979,1881.776739,78.0982047,15.94343789,5.822100702,0.136690054,8.717454095
North Carolina,9845333,4795408,5049925,8.464762782,64.59765085,21.39511746,1.085490557,2.317457393,0.052326117,49937.46414,26070.79816,18.31788355,34.63022612,18.29515459,23.3,9.653068759,14.12025842,1992.151708,78.98772497,14.83313336,6.004568528,0.175957545,9.91162898
North Dakota,721640,367963,353677,2.832682927,87.44829268,1.284390244,5.651219512,0.96195122,0.034634146,58188.1122,31746.70244,11.78536585,34.61756098,16.99560976,21.43365854,14.18292683,12.78,1891.297561,71.86780488,17.32243902,10.40195122,0.412682927,2.933170732
Ohio,11575977,5662893,5913084,3.672084325,75.90306018,16.20727644,0.168888133,1.621081265,0.022645359,49655.24847,25646.88711,18.74891156,32.27448112,19.39132358,23.75103777,7.710377679,16.87342634,1817.978659,82.51187479,12.41772712,4.927492344,0.14198707,9.80479755
